Unnamed: 0,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Converted
6206,251a9f3d-4148-41e2-9532-018731d6ef6c,602204.0,Landing Page Submission,Direct Traffic,No,No,2.0,205.0,2.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,0.0
6990,46fa2e97-e46a-47e5-93ee-f50675f460a2,595985.0,Landing Page Submission,Organic Search,No,No,20.0,213.0,4.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,1.0
600,6be741da-525d-11e6-96be-22000aa8e760,654189.0,Lead Import,Facebook,No,No,0.0,0.0,0.0,Email Opened,,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,02.Medium,14.0,16.0,No,No,Email Opened,1.0
2464,e86663d5-4e87-4f1f-b9a4-deafce64f8d3,636033.0,API,Google,No,No,2.0,1080.0,2.0,SMS Sent,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,14.0,15.0,No,No,Modified,1.0
4371,9cfe699a-924f-457e-8a4d-4bd9c125aced,617842.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,Email Opened,,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,1.0
6316,486c7655-f2b7-4335-ac77-edb5001e19d1,601427.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified,0.0
8769,bc6fd0c3-dfdb-4fe6-ae98-24a1fa81aa4d,582921.0,Landing Page Submission,Direct Traffic,Yes,No,2.0,488.0,2.0,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Worst,No,No,Other Leads,Other Cities,02.Medium,02.Medium,13.0,16.0,No,Yes,SMS Sent,0.0
7945,6b7f56ca-46bb-4331-b23f-3eb204fa8736,588877.0,Landing Page Submission,Direct Traffic,No,No,2.0,287.0,2.0,Email Opened,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Email Opened,1.0
4285,04eaee87-07f0-44d6-aa38-328955d30a20,618838.0,Landing Page Submission,Direct Traffic,No,No,3.0,105.0,3.0,SMS Sent,India,IT Projects Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,1.0
4079,96a1144a-5aaf-4bfb-8e90-feae6c0923a5,620794.0,Landing Page Submission,Direct Traffic,No,No,4.0,1458.0,4.0,Email Opened,India,Finance Management,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Modified,0.0
